USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      392   2.4  0.9 413693712  74720   ??  Ss    1:12PM  16:09.17 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
kamalbush         3613   2.2  0.8 412168032  64432   ??  S     8:08AM   0:23.99 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
kamalbush         1609   1.3  0.9 413385936  74720   ??  S     1:15PM   4:11.89 /Applications/Aura.app/Contents/MacOS/Aura
kamalbush         4240   0.4  0.0 410790096   3376 s000  S     8:59AM   0:00.05 -zsh
root              4280   0.3  0.0 410733584   2048 s000  R+    9:03AM   0:00.01 ps aux
kamalbush          911   0.3  0.2 411256320  14672   ??  S     1:12PM   0:10.15 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
kamalbush          745   0.2  6.0 501466224 504496   ??  Ss    1:12PM  11:23.35 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kamalbush          567   0.1  0.1 426916640   4528   ??  S     1:12PM   0:07.80 /usr/sbin/distnoted agent
kamalbush         1148   0.1  0.2 426969520  13296   ??  Ss    1:13PM   0:02.79 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
kamalbush         4269   0.0  0.3 426969632  23136   ??  S     9:02AM   0:00.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
kamalbush         4263   0.0  0.1 426950368   9488   ??  S     9:02AM   0:00.09 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
kamalbush         4262   0.0  0.7 427155984  56304   ??  S     9:02AM   0:00.66 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
kamalbush         4256   0.0  0.1 426917248   7232   ??  S     9:01AM   0:00.08 /usr/libexec/biomesyncd
kamalbush         4255   0.0  0.5 498975968  40656   ??  Ss    9:01AM   0:00.15 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kamalbush         4250   0.0  0.1 426952944  10624   ??  S     9:00AM   0:00.31 /System/Library/PrivateFrameworks/IMTransferServices.framework/IMTransferAgent.app/Contents/MacOS/IMTransferAgent
root              4239   0.0  0.0 410752944   3520 s000  Ss    8:59AM   0:00.02 login -pf kamalbush
root              4187   0.0  0.0 426950688   4144   ??  Ss    8:58AM   0:00.05 /usr/libexec/amfid
kamalbush         4132   0.0  0.1 426916224   5744   ??  S     8:53AM   0:00.08 /usr/libexec/findmydevice-user-agent
root              4129   0.0  0.0 426912704   1200   ??  Ss    8:52AM   0:00.03 /usr/libexec/smd
kamalbush         4118   0.0  0.1 426963760  11136   ??  Ss    8:52AM   0:00.22 /System/Library/Frameworks/NetworkExtension.framework/PlugIns/NEIKEv2Provider.appex/Contents/MacOS/NEIKEv2Provider -AppleLanguages ("en-US")
kamalbush         4100   0.0  0.0 426918320   3152   ??  S     8:50AM   0:00.07 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
kamalbush         4099   0.0  0.2 426963136  14976   ??  S     8:50AM   0:00.36 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
kamalbush         4098   0.0  0.5 427149424  42288   ??  Ss    8:50AM   0:01.38 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
kamalbush         4097   0.0  0.7 427143360  59264   ??  Ss    8:50AM   0:01.27 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
kamalbush         4059   0.0  0.3 411438256  21040   ??  Ss    8:48AM   0:00.18 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
kamalbush         4005   0.0  0.1 426916736   7632   ??  S     8:44AM   0:00.10 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
kamalbush         3995   0.0  0.1 411050496   5488   ??  Ss    8:44AM   0:00.15 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
kamalbush         3994   0.0  0.1 426952160   5936   ??  S     8:44AM   0:00.13 /usr/libexec/swtransparencyd
kamalbush         3985   0.0  0.0 426896768   3888   ??  Ss    8:44AM   0:00.43 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
root              3983   0.0  0.1 426950144   4336   ??  Ss    8:40AM   0:00.04 /usr/libexec/powerexperienced
root              3971   0.0  0.0 426950432   3280   ??  Ss    8:40AM   0:00.04 /usr/libexec/mmaintenanced
kamalbush         3961   0.0  0.0 410163616   1712   ??  Ss    8:40AM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
